0,r0,zero,
1,r1,at,
2,r2,v0,
3,r3,v1,
4,r4,a0,
5,r5,a1,
6,r6,a2,
7,r7,a3,
8,r8,t0,
9,r9,t1,
10,r10,t2,
11,r11,t3,
12,r12,t4,
13,r13,t5,
14,r14,t6,
15,r15,t7,
16,r16,s0,
17,r17,s1,
18,r18,s2,
19,r19,s3,state_buff
20,r20,s4,bkg
21,r21,s5,sp1
22,r22,s6,sp2
23,r23,s7,s1_x
24,r24,t8,s1_y
25,r25,t9,s1_xbuff
26,r26,k0,s1_ybuff
27,r27,k1,s2_x
28,r28,gp,s2_y
29,r29,sp,state
30,r30,fp,
31,r31,ra,
